,Id,Gender,Age,BodyGoal,ProblemAreas,Height_cm,Weight_kg,FitnessLevel,WorkoutDaysPerWeek,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
235,DDAS0236,Female,32,increase strength,small legs,175,60,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
236,DDAS0237,Male,35,lose weight,big belly,179,89,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
237,DDAS0238,Female,37,gain muscle mass,weak chest,170,66,intermediate,4,chest day,back day,rest,leg day,upper body,rest,rest
238,DDAS0239,Male,40,increase strength,small legs,187,93,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
239,DDAS0240,Female,25,lose weight,big belly,162,58,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
240,DDAS0241,Male,28,gain muscle mass,small arms,182,79,intermediate,4,chest day,back day,rest,leg day,arm day,rest,rest
241,DDAS0242,Female,45,increase strength,small legs,173,64,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
242,DDAS0243,Male,38,lose weight,big belly,176,87,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
243,DDAS0244,Female,40,gain muscle mass,weak chest,167,68,intermediate,4,chest day,back day,rest,leg day,upper body,rest,rest
244,DDAS0245,Male,44,increase strength,small legs,189,98,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
245,DDAS0246,Female,23,lose weight,big belly,160,54,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
246,DDAS0247,Male,30,gain muscle mass,small arms,181,83,intermediate,4,chest day,back day,rest,leg day,arm day,rest,rest
247,DDAS0248,Female,27,increase strength,small legs,174,60,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
248,DDAS0249,Male,34,lose weight,big belly,178,88,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
249,DDAS0250,Female,25,gain muscle mass,weak chest,165,55,intermediate,4,chest day,back day,rest,leg day,upper body,rest,rest
250,DDAS0251,Male,28,increase strength,small legs,186,94,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
251,DDAS0252,Female,36,lose weight,big belly,163,60,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
252,DDAS0253,Male,30,gain muscle mass,small arms,180,82,intermediate,4,chest day,back day,rest,leg day,arm day,rest,rest
253,DDAS0254,Female,40,increase strength,small legs,172,63,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
254,DDAS0255,Male,38,lose weight,big belly,175,85,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
255,DDAS0256,Female,45,gain muscle mass,weak chest,169,70,intermediate,4,chest day,back day,rest,leg day,upper body,rest,rest
256,DDAS0257,Male,42,increase strength,small legs,190,96,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
257,DDAS0258,Female,24,lose weight,big belly,160,56,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
258,DDAS0259,Male,31,gain muscle mass,small arms,183,84,intermediate,4,chest day,back day,rest,leg day,arm day,rest,rest
259,DDAS0260,Female,27,increase strength,small legs,174,59,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
260,DDAS0261,Male,36,lose weight,big belly,177,90,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
261,DDAS0262,Female,34,gain muscle mass,weak chest,166,68,intermediate,4,chest day,back day,rest,leg day,upper body,rest,rest
262,DDAS0263,Male,39,increase strength,small legs,188,92,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
263,DDAS0264,Female,22,lose weight,big belly,161,61,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
264,DDAS0265,Male,29,gain muscle mass,small arms,181,81,intermediate,4,chest day,back day,rest,leg day,arm day,rest,rest
265,DDAS0266,Female,32,increase strength,small legs,175,60,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
266,DDAS0267,Female,27,lose weight,big belly,168,62,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
267,DDAS0268,Male,29,gain muscle mass,small arms,182,80,intermediate,4,chest day,back day,rest,leg day,arm day,rest,rest
268,DDAS0269,Female,32,increase strength,small legs,170,58,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
269,DDAS0270,Male,34,lose weight,big belly,178,88,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
270,DDAS0271,Female,25,gain muscle mass,weak chest,165,55,intermediate,4,chest day,back day,rest,leg day,upper body,rest,rest
271,DDAS0272,Male,28,increase strength,small legs,186,94,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
272,DDAS0273,Female,36,lose weight,big belly,163,60,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
273,DDAS0274,Male,30,gain muscle mass,small arms,180,82,intermediate,4,chest day,back day,rest,leg day,arm day,rest,rest
274,DDAS0275,Female,40,increase strength,small legs,172,63,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
275,DDAS0276,Male,38,lose weight,big belly,175,85,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
276,DDAS0277,Female,45,gain muscle mass,weak chest,169,70,intermediate,4,chest day,back day,rest,leg day,upper body,rest,rest
277,DDAS0278,Male,42,increase strength,small legs,190,96,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
278,DDAS0279,Female,24,lose weight,big belly,160,56,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
279,DDAS0280,Male,31,gain muscle mass,small arms,183,84,intermediate,4,chest day,back day,rest,leg day,arm day,rest,rest
280,DDAS0281,Female,27,increase strength,small legs,174,59,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
281,DDAS0282,Male,36,lose weight,big belly,177,90,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
282,DDAS0283,Female,34,gain muscle mass,weak chest,166,68,intermediate,4,chest day,back day,rest,leg day,upper body,rest,rest
283,DDAS0284,Male,39,increase strength,small legs,188,92,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
284,DDAS0285,Female,22,lose weight,big belly,161,61,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
285,DDAS0286,Male,29,gain muscle mass,small arms,181,81,intermediate,4,chest day,back day,rest,leg day,arm day,rest,rest
286,DDAS0287,Female,32,increase strength,small legs,175,60,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
287,DDAS0288,Male,35,lose weight,big belly,179,89,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
288,DDAS0289,Female,37,gain muscle mass,weak chest,170,66,intermediate,4,chest day,back day,rest,leg day,upper body,rest,rest
289,DDAS0290,Male,40,increase strength,small legs,187,93,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
290,DDAS0291,Female,25,lose weight,big belly,162,58,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
291,DDAS0292,Male,28,gain muscle mass,small arms,182,79,intermediate,4,chest day,back day,rest,leg day,arm day,rest,rest
292,DDAS0293,Female,45,increase strength,small legs,173,64,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
293,DDAS0294,Male,38,lose weight,big belly,176,87,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
294,DDAS0295,Female,40,gain muscle mass,weak chest,167,68,intermediate,4,chest day,back day,rest,leg day,upper body,rest,rest
295,DDAS0296,Male,44,increase strength,small legs,189,98,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
296,DDAS0297,Female,23,lose weight,big belly,160,54,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
297,DDAS0298,Male,30,gain muscle mass,small arms,181,83,intermediate,4,chest day,back day,rest,leg day,arm day,rest,rest
298,DDAS0299,Female,27,increase strength,small legs,174,60,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
299,DDAS0300,Male,34,lose weight,big belly,178,88,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
300,DDAS0301,Female,25,gain muscle mass,weak chest,165,55,intermediate,4,chest day,back day,rest,leg day,upper body,rest,rest
301,DDAS0302,Male,28,increase strength,small legs,186,94,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
302,DDAS0303,Female,36,lose weight,big belly,163,60,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
303,DDAS0304,Male,30,gain muscle mass,small arms,180,82,intermediate,4,chest day,back day,rest,leg day,arm day,rest,rest
304,DDAS0305,Female,40,increase strength,small legs,172,63,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
305,DDAS0306,Male,38,lose weight,big belly,175,85,beginner,7,cardio,cardio,upper body,cardio,lower body,cardio,cardio
306,DDAS0307,Female,45,gain muscle mass,weak chest,169,70,intermediate,4,chest day,back day,rest,leg day,upper body,rest,rest
307,DDAS0308,Male,42,increase strength,small legs,190,96,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
308,DDAS0309,Female,24,lose weight,big belly,160,56,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
309,DDAS0310,Male,31,gain muscle mass,small arms,183,84,intermediate,4,chest day,back day,rest,leg day,arm day,rest,rest
310,DDAS0311,Female,27,increase strength,small legs,174,59,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
311,DDAS0312,Male,36,lose weight,big belly,177,90,beginner,7,cardio,cardio,upper body,cardio,lower body,cardio,cardio
312,DDAS0313,Female,34,gain muscle mass,weak chest,166,68,intermediate,4,chest day,back day,rest,leg day,upper body,rest,rest
313,DDAS0314,Male,39,increase strength,small legs,188,92,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
314,DDAS0315,Male,18,lose weight,big belly,171,75,advanced,4,cardio,upper body,rest,lower body,cardio,rest,rest
315,DDAS0316,Male,18,gain muscle mass,small arms,173,69,intermediate,4,chest day,back day,rest,leg day,arm day,rest,rest
316,DDAS0317,Male,18,gain muscle mass,weak chest,180,79,beginner,3,upper body,rest,rest,lower body,upper body,rest,rest
317,DDAS0318,Female,18,increase strength,small legs,163,55,intermediate,4,leg day,back day,rest,leg day,cardio,rest,rest
318,DDAS0319,Female,22,lose weight,big belly,165,60,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
319,DDAS0320,Male,25,gain muscle mass,small arms,178,85,advanced,5,chest day,rest,back day,rest,leg day,arm day,rest
320,DDAS0321,Female,30,increase strength,small legs,160,55,intermediate,4,leg day,back day,rest,upper body,rest,cardio,rest
321,DDAS0322,Male,14,lose weight,big belly,150,45,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
322,DDAS0323,Female,15,gain muscle mass,small arms,155,50,beginner,3,upper body,rest,lower body,rest,upper body,rest,rest
323,DDAS0324,Male,16,increase strength,small legs,160,55,intermediate,4,leg day,back day,rest,leg day,upper body,rest,rest
324,DDAS0325,Female,17,lose weight,weak chest,165,60,intermediate,4,cardio,upper body,rest,lower body,cardio,rest,rest
325,DDAS0326,Male,18,gain muscle mass,small arms,170,65,intermediate,4,chest day,back day,rest,leg day,arm day,rest,rest
326,DDAS0327,Female,19,increase strength,big belly,175,70,advanced,5,upper body,rest,back day,rest,leg day,arm day,rest
327,DDAS0328,Male,20,lose weight,small arms,180,75,advanced,5,cardio,upper body,rest,lower body,cardio,rest,rest
328,DDAS0329,Female,21,gain muscle mass,weak chest,185,80,beginner,3,upper body,rest,rest,lower body,upper body,rest,rest
329,DDAS0330,Male,22,increase strength,small legs,190,85,intermediate,4,leg day,back day,rest,leg day,cardio,rest,rest
330,DDAS0331,Female,23,lose weight,big belly,195,90,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
331,DDAS0332,Male,24,gain muscle mass,small arms,200,95,advanced,5,chest day,rest,back day,rest,leg day,arm day,rest
332,DDAS0333,Female,25,increase strength,weak chest,160,60,advanced,5,upper body,cardio,rest,back day,rest,leg day,rest
333,DDAS0334,Male,26,lose weight,small legs,165,65,intermediate,4,cardio,lower body,rest,upper body,rest,back day,rest
334,DDAS0335,Female,27,gain muscle mass,big belly,170,70,advanced,5,upper body,rest,rest,lower body,back day,rest,leg day
335,DDAS0336,Male,28,increase strength,small arms,175,75,beginner,3,lower body,upper body,rest,rest,lower body,rest,back day
336,DDAS0337,Female,29,lose weight,weak chest,180,80,intermediate,4,cardio,rest,back day,rest,leg day,upper body,rest
337,DDAS0338,Male,30,gain muscle mass,small legs,185,85,advanced,5,chest day,rest,upper body,rest,back day,leg day,rest
338,DDAS0339,Female,14,lose weight,big belly,150,45,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
339,DDAS0340,Male,15,gain muscle mass,small arms,155,50,beginner,3,upper body,rest,lower body,rest,upper body,rest,rest
340,DDAS0341,Female,16,increase strength,small legs,160,55,intermediate,4,leg day,back day,rest,leg day,upper body,rest,rest
341,DDAS0342,Male,17,lose weight,weak chest,165,60,intermediate,4,cardio,upper body,rest,lower body,cardio,rest,rest
342,DDAS0343,Female,18,gain muscle mass,small arms,170,65,intermediate,4,chest day,back day,rest,leg day,arm day,rest,rest
343,DDAS0344,Male,19,increase strength,big belly,175,70,advanced,5,upper body,rest,back day,rest,leg day,arm day,rest
344,DDAS0345,Female,20,lose weight,small arms,180,75,advanced,5,cardio,upper body,rest,lower body,cardio,rest,rest
345,DDAS0346,Male,21,gain muscle mass,weak chest,185,80,beginner,3,upper body,rest,rest,lower body,upper body,rest,rest
346,DDAS0347,Female,22,increase strength,small legs,190,85,intermediate,4,leg day,back day,rest,leg day,cardio,rest,rest
347,DDAS0348,Male,23,lose weight,big belly,195,90,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
348,DDAS0349,Female,24,gain muscle mass,small arms,200,95,advanced,5,chest day,rest,back day,rest,leg day,arm day,rest
349,DDAS0350,Male,,increase strength,weak chest,160,60,advanced,5,upper body,cardio,rest,back day,rest,leg day,rest
350,DDAS0351,Female,26,lose weight,small legs,165,65,intermediate,4,cardio,lower body,rest,upper body,rest,back day,rest
351,DDAS0352,Male,27,gain muscle mass,big belly,170,70,advanced,5,upper body,rest,rest,lower body,back day,rest,leg day
352,DDAS0353,Female,28,increase strength,small arms,175,75,beginner,3,lower body,upper body,rest,rest,lower body,rest,back day
353,DDAS0354,Male,29,lose weight,weak chest,180,80,intermediate,4,cardio,rest,back day,rest,leg day,upper body,rest
354,DDAS0355,Female,30,gain muscle mass,small legs,185,85,advanced,5,chest day,rest,upper body,rest,back day,leg day,rest
355,DDAS0356,Male,14,lose weight,big belly,150,45,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
356,DDAS0357,Female,15,gain muscle mass,small arms,155,50,beginner,3,upper body,rest,lower body,rest,upper body,rest,rest
357,DDAS0358,Male,16,increase strength,small legs,160,55,intermediate,4,leg day,back day,rest,leg day,upper body,rest,rest
358,DDAS0359,Female,17,lose weight,weak chest,165,60,intermediate,4,cardio,upper body,rest,lower body,cardio,rest,rest
359,DDAS0360,Male,18,gain muscle mass,small arms,170,65,intermediate,4,chest day,back day,rest,leg day,arm day,rest,rest
360,DDAS0361,Female,,increase strength,big belly,175,70,advanced,5,upper body,rest,back day,rest,leg day,arm day,rest
361,DDAS0362,Male,20,lose weight,small arms,180,75,advanced,5,cardio,upper body,rest,lower body,cardio,rest,rest
362,DDAS0363,Female,21,gain muscle mass,weak chest,185,80,beginner,3,upper body,rest,rest,lower body,upper body,rest,rest
363,DDAS0364,Male,22,increase strength,small legs,190,85,,4,leg day,back day,rest,leg day,cardio,rest,rest
364,DDAS0365,Female,23,lose weight,big belly,195,90,,3,cardio,rest,upper body,rest,lower body,rest,rest
365,DDAS0366,Male,,gain muscle mass,small arms,200,95,advanced,5,chest day,rest,back day,rest,leg day,arm day,rest
366,DDAS0367,Female,25,increase strength,weak chest,160,60,advanced,5,upper body,cardio,rest,back day,rest,leg day,rest
367,DDAS0368,Male,26,lose weight,small legs,165,65,intermediate,4,cardio,lower body,rest,upper body,rest,back day,rest
368,DDAS0369,Female,,gain muscle mass,big belly,170,70,advanced,5,upper body,rest,rest,lower body,back day,rest,leg day
369,DDAS0370,Male,28,increase strength,small arms,175,75,beginner,3,lower body,upper body,rest,rest,lower body,rest,back day
370,DDAS0371,Male,28,increase strength,small arms,175,75,beginner,3,lower body,upper body,rest,rest,lower body,rest,back day
