Id,Gender,Age,BodyGoal,ProblemAreas,Height_cm,Weight_kg,FitnessLevel,WorkoutDaysPerWeek,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
DDAS0245,Male,44,increase strength,small legs,189,98,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
DDAS0246,Female,23,lose weight,big belly,160,54,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
DDAS0247,Male,30,gain muscle mass,small arms,181,83,intermediate,4,chest day,back day,rest,leg day,arm day,rest,rest
DDAS0248,Female,27,increase strength,small legs,174,60,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
DDAS0249,Male,34,lose weight,big belly,178,88,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
DDAS0250,Female,25,gain muscle mass,weak chest,165,55,intermediate,4,chest day,back day,rest,leg day,upper body,rest,rest
DDAS0251,Male,28,increase strength,small legs,186,94,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
DDAS0252,Female,36,lose weight,big belly,163,60,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
DDAS0253,Male,30,gain muscle mass,small arms,180,82,intermediate,4,chest day,back day,rest,leg day,arm day,rest,rest
DDAS0254,Female,40,increase strength,small legs,172,63,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
DDAS0255,Male,38,lose weight,big belly,175,85,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
DDAS0256,Female,45,gain muscle mass,weak chest,169,70,intermediate,4,chest day,back day,rest,leg day,upper body,rest,rest
DDAS0257,Male,42,increase strength,small legs,190,96,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
DDAS0258,Female,24,lose weight,big belly,160,56,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
DDAS0259,Male,31,gain muscle mass,small arms,183,84,intermediate,4,chest day,back day,rest,leg day,arm day,rest,rest
DDAS0260,Female,27,increase strength,small legs,174,59,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
DDAS0261,Male,36,lose weight,big belly,177,90,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
DDAS0262,Female,34,gain muscle mass,weak chest,166,68,intermediate,4,chest day,back day,rest,leg day,upper body,rest,rest
DDAS0263,Male,39,increase strength,small legs,188,92,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
DDAS0264,Female,22,lose weight,big belly,161,61,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
DDAS0265,Male,29,gain muscle mass,small arms,181,81,intermediate,4,chest day,back day,rest,leg day,arm day,rest,rest
DDAS0266,Female,32,increase strength,small legs,175,60,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
DDAS0267,Female,27,lose weight,big belly,168,62,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
DDAS0268,Male,29,gain muscle mass,small arms,182,80,intermediate,4,chest day,back day,rest,leg day,arm day,rest,rest
DDAS0269,Female,32,increase strength,small legs,170,58,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
DDAS0270,Male,34,lose weight,big belly,178,88,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
DDAS0271,Female,25,gain muscle mass,weak chest,165,55,intermediate,4,chest day,back day,rest,leg day,upper body,rest,rest
DDAS0272,Male,28,increase strength,small legs,186,94,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
DDAS0273,Female,36,lose weight,big belly,163,60,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
DDAS0274,Male,30,gain muscle mass,small arms,180,82,intermediate,4,chest day,back day,rest,leg day,arm day,rest,rest
DDAS0275,Female,40,increase strength,small legs,172,63,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
DDAS0276,Male,38,lose weight,big belly,175,85,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
DDAS0277,Female,45,gain muscle mass,weak chest,169,70,intermediate,4,chest day,back day,rest,leg day,upper body,rest,rest
DDAS0278,Male,42,increase strength,small legs,190,96,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
DDAS0279,Female,24,lose weight,big belly,160,56,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
DDAS0280,Male,31,gain muscle mass,small arms,183,84,intermediate,4,chest day,back day,rest,leg day,arm day,rest,rest
DDAS0281,Female,27,increase strength,small legs,174,59,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
DDAS0282,Male,36,lose weight,big belly,177,90,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
DDAS0283,Female,34,gain muscle mass,weak chest,166,68,intermediate,4,chest day,back day,rest,leg day,upper body,rest,rest
DDAS0284,Male,39,increase strength,small legs,188,92,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
DDAS0285,Female,22,lose weight,big belly,161,61,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
DDAS0286,Male,29,gain muscle mass,small arms,181,81,intermediate,4,chest day,back day,rest,leg day,arm day,rest,rest
DDAS0287,Female,32,increase strength,small legs,175,60,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
DDAS0288,Male,35,lose weight,big belly,179,89,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
DDAS0289,Female,37,gain muscle mass,weak chest,170,66,intermediate,4,chest day,back day,rest,leg day,upper body,rest,rest
DDAS0290,Male,40,increase strength,small legs,187,93,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
DDAS0291,Female,25,lose weight,big belly,162,58,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
DDAS0292,Male,28,gain muscle mass,small arms,182,79,intermediate,4,chest day,back day,rest,leg day,arm day,rest,rest
DDAS0293,Female,45,increase strength,small legs,173,64,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
DDAS0294,Male,38,lose weight,big belly,176,87,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
DDAS0295,Female,40,gain muscle mass,weak chest,167,68,intermediate,4,chest day,back day,rest,leg day,upper body,rest,rest
DDAS0296,Male,44,increase strength,small legs,189,98,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
DDAS0297,Female,23,lose weight,big belly,160,54,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
DDAS0298,Male,30,gain muscle mass,small arms,181,83,intermediate,4,chest day,back day,rest,leg day,arm day,rest,rest
DDAS0299,Female,27,increase strength,small legs,174,60,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
DDAS0300,Male,34,lose weight,big belly,178,88,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
DDAS0301,Female,25,gain muscle mass,weak chest,165,55,intermediate,4,chest day,back day,rest,leg day,upper body,rest,rest
DDAS0302,Male,28,increase strength,small legs,186,94,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
DDAS0303,Female,36,lose weight,big belly,163,60,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
DDAS0304,Male,30,gain muscle mass,small arms,180,82,intermediate,4,chest day,back day,rest,leg day,arm day,rest,rest
DDAS0305,Female,40,increase strength,small legs,172,63,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
DDAS0306,Male,38,lose weight,big belly,175,85,beginner,7,cardio,cardio,upper body,cardio,lower body,cardio,cardio
DDAS0307,Female,45,gain muscle mass,weak chest,169,70,intermediate,4,chest day,back day,rest,leg day,upper body,rest,rest
DDAS0308,Male,42,increase strength,small legs,190,96,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
DDAS0309,Female,24,lose weight,big belly,160,56,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
DDAS0310,Male,31,gain muscle mass,small arms,183,84,intermediate,4,chest day,back day,rest,leg day,arm day,rest,rest
DDAS0311,Female,27,increase strength,small legs,174,59,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
DDAS0312,Male,36,lose weight,big belly,177,90,beginner,7,cardio,cardio,upper body,cardio,lower body,cardio,cardio
DDAS0313,Female,34,gain muscle mass,weak chest,166,68,intermediate,4,chest day,back day,rest,leg day,upper body,rest,rest
DDAS0314,Male,39,increase strength,small legs,188,92,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
DDAS0315,Male,18,lose weight,big belly,171,75,advanced,4,cardio,upper body,rest,lower body,cardio,rest,rest
DDAS0316,Male,18,gain muscle mass,small arms,173,69,intermediate,4,chest day,back day,rest,leg day,arm day,rest,rest
DDAS0317,Male,18,gain muscle mass,weak chest,180,79,beginner,3,upper body,rest,rest,lower body,upper body,rest,rest
DDAS0318,Female,18,increase strength,small legs,163,55,intermediate,4,leg day,back day,rest,leg day,cardio,rest,rest
DDAS0319,Female,22,lose weight,big belly,165,60,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
DDAS0320,Male,25,gain muscle mass,small arms,178,85,advanced,5,chest day,back day,lower body,rest,leg day,arm day,rest
DDAS0321,Female,30,increase strength,small legs,160,55,intermediate,4,leg day,back day,rest,upper body,rest,cardio,rest
DDAS0322,Male,14,lose weight,big belly,150,45,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
DDAS0323,Female,15,gain muscle mass,small arms,155,50,beginner,3,upper body,rest,lower body,rest,upper body,rest,rest
DDAS0324,Male,16,increase strength,small legs,160,55,intermediate,4,leg day,back day,rest,leg day,upper body,rest,rest
DDAS0325,Female,17,lose weight,weak chest,165,60,intermediate,4,cardio,upper body,rest,lower body,cardio,rest,rest
DDAS0326,Male,18,gain muscle mass,small arms,170,65,intermediate,4,chest day,back day,rest,leg day,arm day,rest,rest
DDAS0327,Female,19,increase strength,big belly,175,70,advanced,5,upper body,lower body,back day,rest,leg day,arm day,rest
DDAS0328,Male,20,lose weight,small arms,180,75,advanced,5,cardio,upper body,rest,lower body,cardio,cardio,rest
DDAS0329,Female,21,gain muscle mass,weak chest,185,80,beginner,3,upper body,rest,rest,lower body,upper body,rest,rest
DDAS0330,Male,22,increase strength,small legs,190,85,intermediate,4,leg day,back day,rest,leg day,cardio,rest,rest
DDAS0331,Female,23,lose weight,big belly,195,90,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
DDAS0332,Male,24,gain muscle mass,small arms,200,95,advanced,5,chest day,back day,cardio,rest,leg day,arm day,rest
DDAS0333,Female,25,increase strength,weak chest,160,60,advanced,5,upper body,cardio,lower body,back day,rest,leg day,rest
DDAS0334,Male,26,lose weight,small legs,165,65,intermediate,4,cardio,lower body,rest,upper body,rest,back day,rest
DDAS0335,Female,27,gain muscle mass,big belly,170,70,advanced,5,upper body,lower body,rest,chest day,back day,rest,leg day
DDAS0336,Male,28,increase strength,small arms,175,75,beginner,3,lower body,rest,rest,rest,lower body,rest,back day
DDAS0337,Female,29,lose weight,weak chest,180,80,intermediate,4,cardio,rest,back day,rest,leg day,upper body,rest
DDAS0338,Male,30,gain muscle mass,small legs,185,85,advanced,5,chest day,back day,lower body,rest,back day,leg day,rest
DDAS0339,Female,14,lose weight,big belly,150,45,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
DDAS0340,Male,15,gain muscle mass,small arms,155,50,beginner,3,upper body,rest,lower body,rest,upper body,rest,rest
DDAS0341,Female,16,increase strength,small legs,160,55,intermediate,4,leg day,back day,rest,leg day,upper body,rest,rest
DDAS0342,Male,17,lose weight,weak chest,165,60,intermediate,4,cardio,upper body,rest,lower body,cardio,rest,rest
DDAS0343,Female,18,gain muscle mass,small arms,170,65,intermediate,4,chest day,back day,rest,leg day,arm day,rest,rest
DDAS0344,Male,19,increase strength,big belly,175,70,advanced,5,upper body,lower body,back day,rest,leg day,arm day,rest
DDAS0345,Female,20,lose weight,small arms,180,75,advanced,5,cardio,upper body,rest,lower body,cardio,cardio,rest
DDAS0346,Male,21,gain muscle mass,weak chest,185,80,beginner,3,upper body,rest,rest,lower body,upper body,rest,rest
DDAS0347,Female,22,increase strength,small legs,190,85,intermediate,4,leg day,back day,rest,leg day,cardio,rest,rest
DDAS0348,Male,23,lose weight,big belly,195,90,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
DDAS0349,Female,24,gain muscle mass,small arms,200,95,advanced,5,chest day,back day,cardio,rest,leg day,arm day,rest
DDAS0350,Male,,increase strength,weak chest,160,60,advanced,5,upper body,lower body,cardio,back day,rest,leg day,rest
DDAS0351,Female,26,lose weight,small legs,165,65,intermediate,4,cardio,lower body,rest,upper body,rest,back day,rest
DDAS0352,Male,27,gain muscle mass,big belly,170,70,advanced,5,upper body,lower body,rest,lower body,back day,rest,leg day
DDAS0353,Female,28,increase strength,small arms,175,75,beginner,3,lower body,upper body,rest,rest,lower body,rest,rest
DDAS0354,Male,29,lose weight,weak chest,180,80,intermediate,4,cardio,rest,back day,rest,leg day,upper body,rest
DDAS0355,Female,30,gain muscle mass,small legs,185,85,advanced,5,chest day,back day,upper body,rest,back day,leg day,rest
DDAS0356,Male,14,lose weight,big belly,150,45,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
DDAS0357,Female,15,gain muscle mass,small arms,155,50,beginner,3,upper body,rest,lower body,rest,upper body,rest,rest
DDAS0358,Male,16,increase strength,small legs,160,55,intermediate,4,leg day,back day,rest,leg day,upper body,rest,rest
DDAS0359,Female,17,lose weight,weak chest,165,60,intermediate,4,cardio,upper body,rest,lower body,cardio,rest,rest
DDAS0360,Male,18,gain muscle mass,small arms,170,65,intermediate,4,chest day,back day,rest,leg day,arm day,rest,rest
DDAS0361,Female,,increase strength,big belly,175,70,advanced,5,upper body,lower body,back day,rest,leg day,arm day,rest
DDAS0362,Male,20,lose weight,small arms,180,75,advanced,5,cardio,upper body,rest,lower body,cardio,cardio,rest
DDAS0363,Female,21,gain muscle mass,weak chest,185,80,beginner,3,upper body,rest,rest,lower body,upper body,rest,rest
DDAS0364,Male,22,increase strength,small legs,190,85,,4,leg day,back day,rest,leg day,cardio,rest,rest
DDAS0365,Female,23,lose weight,big belly,195,90,,3,cardio,rest,upper body,rest,lower body,rest,rest
DDAS0366,Male,,gain muscle mass,small arms,200,95,advanced,5,chest day,back day,upper body,rest,leg day,arm day,rest
DDAS0367,Female,25,increase strength,weak chest,160,60,advanced,5,upper body,lower body,cardio,back day,rest,leg day,rest
DDAS0368,Male,26,lose weight,small legs,165,65,intermediate,4,cardio,lower body,rest,upper body,rest,back day,rest
DDAS0369,Female,,gain muscle mass,big belly,170,70,advanced,5,upper body,arm day,rest,lower body,back day,rest,leg day
DDAS0370,Male,28,increase strength,small arms,175,75,beginner,3,lower body,upper body,rest,rest,lower body,rest,rest
DDAS0371,Male,28,increase strength,small arms,175,75,beginner,3,lower body,upper body,rest,rest,lower body,rest,rest
DDAS0372,Male,31,gain muscle mass,small arms,175,75,advanced,1,chest day,rest,rest,rest,rest,rest,rest
DDAS0373,Female,32,lose weight,big belly,160,60,intermediate,1,cardio,rest,rest,cardio,rest,rest,rest
DDAS0374,Male,33,increase strength,small arms,170,65,intermediate,1,upper body,rest,rest,rest,rest,rest,rest
DDAS0375,Female,34,lose weight,weak chest,185,85,advanced,6,chest day,back day,leg day,arm day,cardio,cardio,rest
DDAS0376,Male,35,gain muscle mass,small arms,165,60,beginner,7,chest day,back day,leg day,arm day,cardio,upper body,lower body
DDAS0377,Female,36,increase strength,small legs,175,75,intermediate,2,leg day,rest,rest,full body,rest,rest,rest
DDAS0378,Male,37,lose weight,big belly,160,60,beginner,2,cardio,rest,rest,full body,rest,rest,rest
DDAS0379,Female,38,gain muscle mass,small arms,170,65,intermediate,2,upper body,rest,rest,lower body,rest,rest,rest
DDAS0380,Male,39,increase strength,small legs,185,85,advanced,6,chest day,back day,leg day,arm day,cardio,rest,rest
DDAS0381,Female,40,lose weight,weak chest,165,60,beginner,7,chest day,back day,leg day,arm day,cardio,upper body,lower body
DDAS0382,Male,41,gain muscle mass,small arms,175,75,intermediate,3,upper body,lower body,rest,rest,full body,rest,rest
DDAS0383,Female,42,lose weight,big belly,160,60,beginner,3,cardio,rest,full body,rest,cardio,rest,rest
DDAS0384,Male,43,increase strength,small legs,170,65,intermediate,3,upper body,lower body,rest,rest,full body,rest,rest
DDAS0385,Female,44,lose weight,weak chest,185,85,advanced,6,chest day,back day,leg day,arm day,cardio,cardio,rest
DDAS0386,Male,45,gain muscle mass,small arms,165,60,beginner,7,chest day,back day,leg day,arm day,cardio,upper body,lower body
DDAS0387,Female,46,increase strength,small legs,175,75,intermediate,1,full body,rest,rest,rest,rest,rest,rest
DDAS0388,Male,47,lose weight,big belly,160,60,beginner,2,cardio,rest,rest,cardio,rest,rest,rest
DDAS0389,Female,48,gain muscle mass,small arms,170,65,intermediate,3,upper body,lower body,rest,rest,full body,rest,rest
DDAS0390,Male,49,increase strength,small legs,185,85,advanced,6,chest day,back day,leg day,arm day,cardio,cardio,rest
DDAS0391,Female,50,lose weight,weak chest,165,60,beginner,7,chest day,back day,leg day,arm day,cardio,cardio,cardio
DDAS0392,Male,51,gain muscle mass,small arms,175,75,intermediate,1,full body,rest,rest,rest,rest,rest,rest
DDAS0393,Female,52,lose weight,big belly,160,60,beginner,2,cardio,rest,rest,full body,rest,rest,rest
DDAS0394,Male,53,increase strength,small legs,170,65,intermediate,3,upper body,lower body,rest,rest,full body,rest,rest
DDAS0396,Female,54,lose weight,weak chest,185,85,advanced,6,chest day,back day,leg day,arm day,cardio,cardio,cardio
DDAS0397,Male,55,gain muscle mass,small arms,165,60,beginner,7,chest day,back day,leg day,arm day,cardio,rest,rest
DDAS0398,Female,56,increase strength,small legs,175,75,intermediate,1,full body,rest,rest,rest,rest,rest,rest
DDAS0399,Male,57,lose weight,big belly,160,60,beginner,2,cardio,rest,rest,full body,rest,rest,rest
DDAS0400,Female,58,gain muscle mass,small arms,170,65,intermediate,3,upper body,lower body,rest,rest,full body,rest,rest
DDAS0401,Male,59,increase strength,small legs,185,85,advanced,6,chest day,back day,leg day,arm day,cardio,rest,rest
DDAS0402,Female,60,lose weight,weak chest,165,60,beginner,7,chest day,back day,leg day,arm day,cardio,upper body,lower body
DDAS0403,Male,61,gain muscle mass,small arms,175,75,intermediate,1,full body,rest,rest,rest,rest,rest,rest
